udise_code,school_name,district,village,longitude,latitude,school_category,management
18090108602,D. TENGAGURI KACHARIGAON LP,MORIGAON,TENGAGURI KACHARIGAON,92.2812169997882,26.416182999751,Primary,Department of Education
18100903021,ROWMARI BORPETA R. H. HIGH SCHOOL,NAGAON,HATIPARA,92.7086000003837,26.4162000000347,Upper Pri. and Secondary,Private Unaided (Recognized)
18100902903,BARPETA ME,NAGAON,BARPETA,92.7086329999957,26.4162000000347,Upper Primary only,Department of Education
18050301405,KAMARPARA HIGH MADRASSA,BARPETA,BARDANGA,90.8977500004107,26.416217000316,Upper Pri. and Secondary,Department of Education
18050301403,1984.UTTAR BARDANGA L.P,BARPETA,BARDANGA,90.8977500004107,26.416217000316,Primary,Department of Education
18070302002,161 NO KATHORA JR BASIC SCHOOL,NALBARI,KATHORA,91.4979670003616,26.416217000316,Primary,Department of Education
18060600810,BARGAON MILANJYOTI MES,KAMRUP-RURAL,BARGAON,91.7429669999631,26.4162500000502,Primary with Upper Primary,Department of Education
18060600811,PUB BARGAON LPS,KAMRUP-RURAL,BARGAON,91.7429669999631,26.4162500000502,Primary,Department of Education
18090108702,JATIABORI KHUTI LP,MORIGAON,BORHALOWKANDA GAON,92.2739500001439,26.4162670003241,Primary,Department of Education
18050207210,"ADARSHA GIRLS HIGH SCHOOL,ITARVITA",BARPETA,ITARVITA,91.0102500002827,26.4163000000441,Secondary Only,Department of Education
18050301502,667.KHATAKUCHI L.P,BARPETA,JAMAR KUR,90.8938000003086,26.4163670002754,Primary,Department of Education
18050200914,ITERVITHA ADARSHA GIRLS MEM,BARPETA,SUKMANAH,91.0102829998947,26.4163670002754,Upper Primary only,Government Aided
18090108704,BORHALOWKANDA HARIJAN MEM,MORIGAON,BORHALOWKANDA GAON,92.2815170002621,26.4163829997125,Upper Primary only,Government Aided
18190603401,JONGPHA GOVT.,KARBI ANGLONG,JONGPHA,93.7075169996225,26.4163829997125,Primary,Department of Education
18100102611,PUB BHERBHERI A AHMED LP,NAGAON,BHERBHERI BIL,92.5172829996659,26.4163999999667,Primary,Department of Education
18050301501,670. JAMER KUR L.P,BARPETA,JAMAR KUR,90.8816169999163,26.4164170002185,Primary,Department of Education
18050310511,"AL-JAMIATUL ISLAMIA EH-YA-UL-ULOOM MADRASSA, KHARICHALA",BARPETA,GHUGU BARI,90.8684490004083,26.4164290003947,Primary with Upper Primary,Private Unaided (Recognized)
18050311605,ARYABHATTA JATIYA VIDYALAY,BARPETA,ROHA,90.8666430004116,26.4164329996487,Primary with Upper Primary,Private Unaided (Recognized)
18100207503,DAKHIN DALANI JURIA MKB.,NAGAON,DALANI JURIA,92.6492500001913,26.4164499998956,Primary,Department of Education
18101001001,112 NO. GERUAMUKH LPS,NAGAON,GERUAMUKH(KHATOWAL),92.8233830002784,26.4164499998956,Primary,Department of Education
18180217103,GANDHI VIDYAPITH HIGH SCHOOL,GOLAGHAT,KHUTA KOTA,94.1027499995803,26.4164499998956,Upper Pri. and Secondary,Department of Education
18101007604,UTTAR GEREKI BALIKA LPS,NAGAON,GEREKI,92.7546170003133,26.4164830003677,Primary,Department of Education
18040409804,12 NO. BRIDHABASHI JBS,BONGAIGAON,2 NO. BRIDHABASHI,90.8473170002236,26.4164999998027,Primary,Department of Education
18060818104,CHALPUKHURIPAR ANCH. MES,KAMRUP-RURAL,BARKUKURIA,91.5794670003647,26.4164999998027,Upper Primary only,Department of Education
18100206005,HAZIPARA NEW LPS,NAGAON,FAKALI PATHAR,92.6143000002203,26.4165330002605,Primary,Department of Education
18040103303,OUDUBI HIGH MADRASSA,BONGAIGAON,OUDUBI PART I,90.6016999999557,26.4165499996882,Secondary Only,Government Aided
18070400110,BALA BANGAON MAHAKALI BIDYAPITH,NALBARI,BANGAON,91.3681670004062,26.4165499996882,Primary,Department of Education
18080111106,CHENGELIAJHAR JATIYA BIDYALAYA,DARRANG,GHOPELI,91.8482500004196,26.4165499996882,Primary,Private Unaided (Recognized)
18080111902,FUTKITALI L.P. SCHOOL,DARRANG,BAR ATHIABARI,91.9303830000843,26.4165499996882,Primary,Department of Education
18100103716,DAKHIN SALKATI H.Z.ALI MEM,NAGAON,SHALKATI PATHAR,92.4334500003098,26.4165499996882,Upper Primary only,Government Aided
18050602702,1712 KAYA KUCHI PAM BALIKA L.P,BARPETA,KAYAKUCHIPAM,91.1042170003603,26.4165830001317,Primary,Department of Education
18070302003,BANGSHI KALITA LPS,NALBARI,KATHORA,91.5017330003407,26.4165830001317,Primary,Department of Education
